st_case,veh_no,drdistract
10001,1,Not Reported
10001,2,Not Reported
10002,1,Not Reported
10002,2,Not Reported
10003,1,Not Reported
10004,1,Not Reported
10005,1,Not Reported
10006,1,Not Reported
10007,1,No Driver Present/Unknown if Driver present
10007,2,Not Reported
10008,1,Not Reported
10009,1,Not Reported
10009,2,Not Distracted
10010,1,Not Reported
10011,1,Not Reported
10012,1,Not Reported
10012,2,Not Reported
10013,1,Other Mobile Phone Related
10013,2,Not Reported
10014,1,Not Reported
10014,2,Not Reported
10015,1,Not Reported
10016,1,Not Reported
10017,1,Not Reported
10018,1,Not Reported
10019,1,Not Reported
10020,1,Not Reported
10021,1,Not Reported
10022,1,Not Reported
10023,1,Not Reported
10023,2,Not Distracted
10024,1,Not Reported
10024,2,Not Reported
10024,3,Not Reported
10025,1,Not Reported
10026,1,Not Reported
10026,2,Not Reported
10027,1,Not Reported
10028,1,Not Reported
10029,1,Not Reported
10029,2,Not Reported
10030,1,Not Reported
10031,1,Not Reported
10032,1,Not Reported
10033,1,Not Reported
10034,1,Not Reported
10035,1,Not Reported
10036,1,Not Reported
10037,1,Not Reported
10038,1,Not Reported
10039,1,While Using or Reaching for Device/Object Brought into Vehicle
10039,2,Not Reported
10039,3,Not Reported
10040,1,Not Reported
10041,1,Not Reported
10042,1,"Distraction (Distracted), Details Unknown"
10042,2,Not Reported
10043,1,Not Reported
10044,1,Not Reported
10045,1,Not Reported
10046,1,Not Reported
10047,1,Not Reported
10047,2,Not Reported
10047,3,Not Reported
10048,1,Not Reported
10048,2,Not Reported
10049,1,Not Reported
10049,2,Not Reported
10050,1,Not Reported
10051,1,Not Reported
10052,1,Not Reported
10052,2,Not Reported
10053,1,Not Reported
10054,1,Not Reported
10055,1,Not Reported
10056,1,Not Reported
10057,1,Not Reported
10058,1,Not Reported
10059,1,Not Reported
10060,1,Not Reported
10061,1,Not Reported
10062,1,Not Reported
10063,1,Not Reported
10064,1,Not Reported
10064,2,Not Reported
10064,3,Not Reported
10065,1,Not Reported
10065,2,Not Reported
10066,1,Not Reported
10066,2,Not Reported
